"id";"value";"time";"read"
219;2.17197;"1619466687.4756";"0"
218;2.17709;"1619466687.2256";"0"
222;2.163;"1619466688.2256";"0"
223;2.163;"1619466688.4756";"0"
224;2.15916;"1619466688.7256";"0"
226;2.1566;"1619466689.2256";"0"
225;2.16428;"1619466688.9756";"0"
227;2.1566;"1619466689.4756";"0"
228;2.15531;"1619466689.7256";"0"
229;2.163;"1619466689.9756";"0"
231;2.15531;"1619466690.4756";"0"
233;2.15531;"1619466690.9756";"0"
234;2.15019;"1619466691.2256";"0"
232;2.1566;"1619466690.7256";"0"
230;2.15916;"1619466690.2256";"0"
240;2.13994;"1619466692.7256";"0"
238;2.14378;"1619466692.2256";"0"
235;2.14891;"1619466691.4756";"0"
236;2.15147;"1619466691.7256";"0"
237;2.14891;"1619466691.9756";"0"
239;2.15019;"1619466692.4756";"0"
244;2.13994;"1619466693.7256";"0"
243;2.13866;"1619466693.4756";"0"
245;2.1361;"1619466693.9756";"0"
242;2.1361;"1619466693.2256";"0"
246;2.13866;"1619466694.2256";"0"
241;2.13994;"1619466692.9756";"0"
249;2.13354;"1619466694.9756";"0"
251;2.13226;"1619466695.4756";"0"
252;2.13097;"1619466695.7256";"0"
247;2.13994;"1619466694.4756";"0"
250;2.13354;"1619466695.2256";"0"
248;2.13994;"1619466694.7256";"0"
255;2.13738;"1619466696.4756";"0"
257;2.13226;"1619466696.9756";"0"
256;2.13738;"1619466696.7256";"0"
253;2.1361;"1619466695.9756";"0"
258;2.12969;"1619466697.2256";"0"
254;2.13226;"1619466696.2256";"0"
259;2.12457;"1619466697.4756";"0"
263;2.13226;"1619466698.4756";"0"
264;2.15019;"1619466698.7256";"0"
262;2.1361;"1619466698.2256";"0"
261;2.12585;"1619466697.9756";"0"
260;2.12585;"1619466697.7256";"0"
267;2.20656;"1619466699.4756";"0"
269;2.23218;"1619466699.9756";"0"
265;2.16428;"1619466698.9756";"0"
270;2.22705;"1619466700.2256";"0"
268;2.21937;"1619466699.7256";"0"
266;2.18606;"1619466699.2256";"0"
271;2.22833;"1619466700.4756";"0"
274;2.21424;"1619466701.2256";"0"
276;2.2104;"1619466701.7256";"0"
272;2.22577;"1619466700.7256";"0"
273;2.21937;"1619466700.9756";"0"
275;2.2104;"1619466701.4756";"0"
278;2.19887;"1619466702.2256";"0"
280;2.19374;"1619466702.7256";"0"
277;2.20143;"1619466701.9756";"0"
281;2.1899;"1619466702.9756";"0"
279;2.19374;"1619466702.4756";"0"
282;2.18222;"1619466703.2256";"0"
284;2.18478;"1619466703.7256";"0"
285;2.17325;"1619466703.9756";"0"
286;2.17325;"1619466704.2256";"0"
283;2.18734;"1619466703.4756";"0"
288;2.17453;"1619466704.7256";"0"
287;2.16941;"1619466704.4756";"0"
291;2.17325;"1619466705.4756";"0"
289;2.17453;"1619466704.9756";"0"
290;2.17325;"1619466705.2256";"0"
292;2.16941;"1619466705.7256";"0"
294;2.17069;"1619466706.2256";"0"
293;2.17197;"1619466705.9756";"0"
297;2.17453;"1619466706.9756";"0"
298;2.16812;"1619466707.2256";"0"
296;2.17197;"1619466706.7256";"0"
299;2.16172;"1619466707.4756";"0"
300;2.16428;"1619466707.7256";"0"
295;2.17453;"1619466706.4756";"0"
305;2.16428;"1619466708.9756";"0"
302;2.163;"1619466708.2256";"0"
304;2.15788;"1619466708.7256";"0"
301;2.16044;"1619466707.9756";"0"
306;2.15531;"1619466709.2256";"0"
303;2.1566;"1619466708.4756";"0"
307;2.1566;"1619466709.4756";"0"
309;2.15531;"1619466709.9756";"0"
310;2.15275;"1619466710.2256";"0"
312;2.15403;"1619466710.7256";"0"
308;2.15788;"1619466709.7256";"0"
311;2.15275;"1619466710.4756";"0"
313;2.14507;"1619466710.9756";"0"
316;2.14122;"1619466711.7256";"0"
314;2.14378;"1619466711.2256";"0"
317;2.14378;"1619466711.9756";"0"
315;2.13994;"1619466711.4756";"0"
318;2.14763;"1619466712.2256";"0"
